,Type,WCount,continuousPixelColumnWise,continuousPixelRowWise
0,BIKE,19969,79.5185185185,62.6395348837
1,BIKE,42548,106.5657370518,90.7242990654
2,CAR,57723,103.1586715867,160.0365448505
3,CAR,39990,82.1008403361,104.5646258503
4,BIKE,42633,96.137254902,78.5229885057
5,BIKE,114081,116.6661742984,102.7891891892
6,BIKE,32312,98.1016949153,84.5867768595
7,BIKE,89521,105.3918669131,115.7184035477
8,CAR,101162,142.6605839416,214.7528604119
9,BIKE,71497,84.0708661417,65.6749116608
10,CAR,86447,103.2094339623,170.2803738318
11,BIKE,4845,53.7777777778,65.6749116608
12,BIKE,37069,100.4822335025,97.5939086294
13,BIKE,73011,97.5558194774,91.2252873563
14,BUS,236603,99.8672168042,118.5851462866
15,BIKE,123121,127.1301369863,139.2509025271
16,CAR,78164,98.4421364985,140.7415458937
17,CAR,75314,99.1844444444,168.1309192201
18,BIKE,15817,61.2173913043,54
19,BIKE,77333,115.6928571429,98.9423791822
20,BIKE,26203,69.0405405405,72.4150943396
21,CAR,85087,101.8448753463,142.3547008547
22,CAR,35847,78.2718446602,99.7983193277
23,BIKE,25766,100.5378151261,78.3445378151
24,BUS,206855,144.9808173478,184.4613756614
25,CAR,76824,158.5039164491,216.247761194
26,BIKE,22599,84.2042253521,62.2957746479
27,BIKE,47476,85.2418604651,74.9378531073
28,CAR,43091,85.2075471698,152.5714285714
29,CAR,49390,91,154.6437246964
30,BIKE,220967,116.3414179104,101.6790450928
31,BIKE,49513,83.7822580645,81.6036036036
32,CAR,74128,73.7177177177,128.6629526462
33,BUS,165442,87.4041514042,95.881025641
34,BIKE,37492,68.5098039216,63.5
35,BUS,151166,82.8857644991,92.7820343461
36,BIKE,125085,124.632970451,125.1581632653
37,BIKE,27794,68.12,71.3263157895
38,BIKE,60623,65.2077922078,59.0615384615
39,BUS,168692,80.4486638537,96.5606641124
40,BIKE,26237,62.4705882353,75.3076923077
41,CAR,79351,132.0365296804,212.8482972136
42,BIKE,8042,59.3571428571,56.375
43,CAR,44041,66.8235294118,114.6440677966
44,BIKE,31625,81.903030303,88.8409090909
45,BIKE,55035,124.4273127753,101.032967033
46,CAR,119353,106.7991746905,183.2107925801
47,BIKE,113618,149.3787375415,140.8180404355
48,BIKE,49710,97.1863636364,86.5719557196
49,BIKE,48107,113.3254716981,94.1845637584
50,BIKE,102538,125.8540772532,108.7373188406
51,BIKE,26253,72.3760683761,69.724137931
52,BIKE,134256,80.371541502,82.0568181818
53,BUS,173722,88.5280641466,98.4084084084
54,CAR,85997,98.0684596577,130.5770114943
55,BIKE,64915,101.7236180905,93.7714285714
56,BIKE,45589,130.3179916318,117.4691358025
57,BUS,183149,76.3799743261,93.1281437126
58,CAR,50503,94.3412969283,157.0916334661
59,BIKE,22922,72.2580645161,55.9523809524
60,BIKE,32035,101.0340136054,85.1385542169
61,BIKE,11298,87.7586206897,68.1111111111
62,BIKE,43052,104.6455223881,103.3976833977
63,CAR,43355,88.4047619048,104.5674157303
64,BIKE,43773,106.0208333333,84.5294117647
65,BIKE,56321,124.6961130742,112.8070175439
66,BIKE,8634,62.8787878788,56.9
67,CAR,80318,97.4408602151,124.1547619048
68,BIKE,14838,84.4868421053,84.8441558442
69,BIKE,31316,91.2849740933,84.4941860465
70,BIKE,37008,92.1408450704,98.7541899441
71,BUS,163140,115.3355018587,133.763215859
72,BIKE,36725,86.7435897436,70.7962962963
73,BIKE,46151,81.675862069,59.96875
74,CAR,90210,82.8812154696,137.9837962963
75,CAR,56252,144.7737226277,193.2673992674
76,CAR,54195,95.3130990415,162.7335907336
77,CAR,88217,162.6229508197,230.1932773109
78,CAR,76958,72.4114285714,127.1203208556
79,BIKE,14341,64.84375,57.8947368421
80,BUS,138594,88.0453834116,96.250656168
81,BIKE,53702,84.4298507463,87.3765822785
82,BIKE,155696,97.6425619835,90.2286245353
83,BIKE,43913,79.1911764706,72.2118644068
84,BIKE,122060,88.2314540059,101.1854304636
85,CAR,87440,111.5918803419,166.4831013917
86,BIKE,23596,62.813559322,67.9411764706
87,BUS,192881,148.6767399267,176.4054644809
88,CAR,95914,100.3138686131,170.468487395
89,CAR,76748,86.3636363636,138.379501385
90,CAR,70385,73.0965732087,128.2973760933
91,BIKE,13759,56.7272727273,58
92,CAR,85991,95.8531353135,182.6592592593
93,CAR,64077,158.0394736842,206.4812286689
94,BIKE,48926,102.2844444444,97.0541871921
95,CAR,98623,124.656504065,173.1275045537
96,CAR,50825,65.6029411765,112.8201438849
97,CAR,61381,100.5275862069,161.8424437299
